NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
260.5,0,2432,0,3944,0,1275,817,
261.5,0,1850,0,3375,0,1045,684,
262.5,0,1396,0,2882,0,856,574,
263.5,0,1046,0,2457,0,701,484,
264.5,0,779,0,2091,0,574,408,
265.5,0,577,0,1776,0,471,345,
266.5,0,425,0,1507,0,387,292,
267.5,0,312,0,1278,0,318,247,
268.5,0,228,0,1082,0,262,210,
269.5,0,166,0,915,0,216,178,
270.5,0,121,0,773,0,179,150,
271.5,0,88,0,653,0,148,127,
272.5,0,64,0,552,0,123,108,
273.5,0,47,0,466,0,102,91,
274.5,0,34,0,393,0,85,77,
275.5,0,25,0,331,0,71,65,
276.5,0,18,0,279,0,60,55,
277.5,0,14,0,235,0,50,46,
278.5,0,10,0,199,0,42,39,
279.5,0,8,0,167,0,35,33,
280.5,0,6,0,141,0,29,28,
281.5,0,4,0,119,0,25,24,
282.5,0,3,0,100,0,21,20,
283.5,0,3,0,85,0,17,17,
284.5,0,2,0,71,0,15,14,
285.5,0,2,0,60,0,12,12,
286.5,0,1,0,51,0,10,10,
287.5,0,1,0,43,0,9,9,
288.5,0,0,0,36,0,7,7,
289.5,0,0,0,30,0,6,6,
290.5,0,0,0,26,0,5,5,
291.5,0,0,0,22,0,4,4,
292.5,0,0,0,18,0,4,4,
293.5,0,0,0,15,0,3,3,
294.5,0,0,0,13,0,3,3,
295.5,0,0,0,11,0,2,2,
296.5,0,0,0,9,0,2,2,
297.5,0,0,0,8,0,2,2,
298.5,0,0,0,7,0,1,1,
299.5,0,0,0,6,0,1,1,
300.5,0,0,0,5,0,0,0,
301.5,0,0,0,4,0,0,0,
302.5,0,0,0,3,0,0,0,
303.5,0,0,0,3,0,0,0,
304.5,0,0,0,2,0,0,0,
305.5,0,0,0,2,0,0,0,
306.5,0,0,0,2,0,0,0,
307.5,0,0,0,1,0,0,0,
308.5,0,0,0,1,0,0,0,
309.5,0,0,0,0,0,0,0,
310.5,0,0,0,0,0,0,0,
311.5,0,0,0,0,0,0,0,
312.5,0,0,0,0,0,0,0,
313.5,0,0,0,0,0,0,0,
314.5,0,0,0,0,0,0,0,
315.5,0,0,0,0,0,0,0,
316.5,0,0,0,0,0,0,0,
317.5,0,0,0,0,0,0,0,
318.5,0,0,0,0,0,0,0,
319.5,0,0,0,0,0,0,0,
320.5,0,0,0,0,0,0,0,
321.5,0,0,0,0,0,0,0,
322.5,0,1,0,0,0,0,0,
323.5,0,1,0,0,0,0,0,
324.5,0,1,0,0,0,0,0,
325.5,0,2,0,0,0,0,0,
326.5,0,2,0,0,0,0,0,
327.5,0,2,0,0,0,0,0,
328.5,0,2,0,0,0,0,0,
329.5,0,3,0,0,0,0,0,
330.5,0,3,0,0,0,0,0,
331.5,0,4,0,0,0,0,0,
332.5,0,4,0,0,0,0,0,
333.5,0,5,0,0,0,0,0,
334.5,0,6,0,0,0,1,1,
335.5,0,6,0,0,0,1,1,
336.5,0,7,0,0,0,1,1,
337.5,0,8,0,0,0,2,2,
338.5,0,10,0,0,0,2,2,
339.5,0,11,0,0,0,2,2,
340.5,0,13,0,0,0,3,3,
341.5,0,14,0,0,0,3,3,
342.5,0,16,0,0,0,3,3,
343.5,0,19,0,0,0,4,4,
344.5,0,21,0,0,0,4,4,
345.5,0,24,0,0,0,5,5,
346.5,0,28,0,0,0,6,6,
347.5,0,31,0,0,0,6,6,
348.5,0,35,0,0,0,7,7,
349.5,0,40,0,0,0,8,8,
350.5,0,45,0,0,0,9,9,
351.5,0,51,0,0,0,10,10,
352.5,0,58,0,0,0,12,12,
353.5,0,65,0,0,0,13,13,
354.5,0,73,0,0,0,15,15,
355.5,0,81,0,0,0,16,16,
356.5,0,91,0,0,0,18,18,
357.5,0,102,0,0,0,20,20,
358.5,0,114,0,0,0,23,23,
359.5,0,126,0,0,0,25,25,
360.5,0,141,0,0,0,28,28,
361.5,0,156,0,0,0,31,31,
362.5,0,173,0,0,0,35,35,
363.5,0,191,0,0,0,38,38,
364.5,0,211,0,0,0,42,42,
365.5,0,232,0,0,0,47,46,
366.5,0,256,0,0,0,51,51,
367.5,0,281,0,0,1,56,56,
368.5,0,308,0,0,2,62,61,
369.5,0,337,0,0,4,68,67,
370.5,0,368,0,0,6,75,73,
371.5,0,401,0,0,9,82,80,
372.5,0,436,0,0,13,90,87,
373.5,0,474,0,0,19,99,94,
374.5,0,514,0,0,29,109,102,
375.5,0,556,0,0,42,120,109,
376.5,0,601,0,0,60,132,118,
377.5,0,648,0,0,86,147,126,
378.5,0,698,0,0,122,164,136,
379.5,0,750,0,0,170,184,145,
380.5,0,805,0,0,236,208,156,
381.5,0,862,0,0,323,237,168,
382.5,0,921,0,0,437,271,183,
383.5,0,982,0,0,585,313,202,
384.5,0,1046,0,0,775,364,227,
385.5,0,1112,0,0,1016,426,261,
386.5,0,1180,0,0,1318,500,307,
387.5,0,1250,0,0,1692,588,367,
388.5,0,1322,0,0,2149,694,445,
389.5,0,1395,0,0,2701,819,543,
390.5,0,1469,0,0,3361,966,663,
391.5,0,1545,0,0,4138,1137,808,
392.5,0,1622,0,0,5043,1333,979,
393.5,0,1699,0,0,6082,1556,1178,
394.5,0,1777,0,0,7261,1808,1406,
395.5,0,1855,0,0,8580,2087,1663,
396.5,0,1933,0,0,10037,2394,1947,
397.5,0,2011,0,0,11623,2727,2258,
398.5,0,2088,0,0,13324,3083,2592,
399.5,0,2165,0,0,15122,3457,2946,
400.5,0,2240,0,0,16992,3846,3315,
401.5,0,2313,0,0,18905,4244,3693,
402.5,0,2385,0,0,20826,4642,4072,
403.5,0,2455,0,0,22717,5034,4446,
404.5,0,2522,0,0,24538,5412,4806,
405.5,0,2586,0,0,26248,5767,5145,
406.5,0,2648,0,0,27806,6091,5453,
407.5,0,2706,0,0,29172,6376,5723,
408.5,0,2760,0,0,30313,6615,5949,
409.5,0,2811,0,0,31198,6802,6123,
410.5,0,2857,0,0,31804,6932,6242,
411.5,0,2900,0,0,32115,7003,6303,
412.5,0,2937,0,0,32125,7013,6304,
413.5,0,2970,0,0,31835,6961,6245,
414.5,0,2999,0,0,31253,6850,6128,
415.5,0,3022,0,0,30398,6684,5957,
416.5,0,3040,0,0,29293,6467,5737,
417.5,0,3053,0,0,27969,6205,5473,
418.5,0,3061,0,0,26462,5905,5173,
419.5,0,3064,0,0,24808,5574,4845,
420.5,0,3061,0,0,23047,5221,4496,
421.5,0,3053,0,0,21218,4854,4133,
422.5,0,3040,0,0,19359,4480,3766,
423.5,0,3022,0,0,17505,4105,3401,
424.5,0,2999,0,0,15689,3738,3044,
425.5,0,2971,0,0,13937,3381,2701,
426.5,0,2938,0,0,12271,3042,2376,
427.5,0,2901,0,0,10710,2722,2075,
428.5,0,2860,0,0,9267,2425,1798,
429.5,0,2814,0,0,7948,2152,1548,
430.5,0,2765,0,0,6758,1905,1326,
431.5,0,2711,0,0,5697,1682,1133,
432.5,0,2655,0,0,4762,1483,967,
433.5,1,2595,0,0,3946,1309,829,
434.5,3,2533,0,0,3242,1156,716,
435.5,6,2468,0,0,2642,1023,626,
436.5,13,2401,0,0,2134,910,556,
437.5,27,2332,0,0,1710,814,503,
438.5,56,2261,0,0,1359,735,461,
439.5,110,2189,0,0,1071,674,429,
