NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
157.5,0,16132,34036,350615,41975,88552,65918,
158.5,0,14476,33147,332523,35771,83183,62675,
159.5,0,13020,32500,310964,30533,77403,58694,
160.5,0,11742,32082,286376,26118,71264,54069,
161.5,0,10623,31881,259392,22400,64859,48929,
162.5,0,9645,31890,230798,19271,58321,43441,
163.5,0,8790,32103,201490,16637,51804,37792,
164.5,0,8044,32516,172397,14420,45475,32180,
165.5,0,7395,33129,144409,12551,39497,26799,
166.5,0,6830,33941,118310,10975,34011,21832,
167.5,0,6339,34955,94714,9644,29130,17440,
168.5,0,5913,36174,74031,8518,24927,13766,
169.5,0,5545,37601,56456,7564,21433,10937,
170.5,0,5227,39241,41978,6755,18640,9049,
171.5,0,4954,41099,30419,6066,16508,8103,
172.5,0,4720,43177,21473,5481,14970,7928,
173.5,0,4522,45479,14762,4982,13949,8242,
174.5,0,4355,48006,9881,4558,13360,8802,
175.5,0,4216,50758,6440,4196,13122,9466,
176.5,0,4102,53731,4088,3889,13162,10172,
177.5,0,4011,56920,2527,3628,13417,10898,
178.5,0,3940,60314,1522,3408,13837,11640,
179.5,0,3888,63900,894,3224,14381,12400,
180.5,0,3854,67656,512,3072,15019,13180,
181.5,0,3835,71561,286,2948,15726,13978,
182.5,0,3831,75583,156,2850,16484,14794,
183.5,0,3841,79688,83,2777,17278,15621,
184.5,0,3863,83835,44,2726,18094,16453,
185.5,0,3897,87979,22,2697,18919,17282,
186.5,0,3942,92069,11,2690,19743,18098,
187.5,0,3997,96052,6,2705,20552,18891,
188.5,0,4062,99872,3,2741,21335,19650,
189.5,0,4135,103470,1,2800,22081,20363,
190.5,0,4217,106790,0,2884,22778,21019,
191.5,0,4306,109773,0,2995,23415,21606,
192.5,0,4402,112368,0,3135,23981,22114,
193.5,0,4504,114526,0,3308,24468,22532,
194.5,0,4612,116203,0,3518,24867,22853,
195.5,0,4725,117366,0,3770,25172,23068,
196.5,0,4843,117987,0,4070,25380,23174,
197.5,0,4964,118051,0,4425,25488,23165,
198.5,0,5089,117550,0,4845,25497,23040,
199.5,0,5216,116488,0,5339,25408,22800,
200.5,0,5345,114880,0,5919,25229,22448,
201.5,0,5475,112748,0,6600,24965,21988,
202.5,0,5607,110127,0,7397,24626,21426,
203.5,0,5739,107055,0,8330,24225,20771,
204.5,0,5871,103581,0,9418,23774,20033,
205.5,0,6003,99757,0,10686,23289,19222,
206.5,0,6135,95638,0,12161,22787,18352,
207.5,0,6266,91282,0,13869,22283,17437,
208.5,0,6395,86748,0,15842,21797,16495,
209.5,0,6524,82093,0,18112,21346,15543,
210.5,0,6653,77372,0,20710,20947,14604,
211.5,0,6780,72636,0,23667,20617,13706,
212.5,0,6906,67934,0,27010,20370,12879,
213.5,0,7032,63307,0,30763,20221,12164,
214.5,0,7158,58793,0,34940,20178,11604,
215.5,0,7284,54424,0,39545,20251,11244,
216.5,0,7411,50225,0,44566,20440,11123,
217.5,0,7538,46217,0,49975,20746,11266,
218.5,0,7668,42416,0,55723,21161,11670,
219.5,0,7799,38831,0,61736,21673,12311,
220.5,0,7933,35468,0,67917,22264,13144,
221.5,0,8071,32330,0,74142,22909,14113,
222.5,0,8213,29415,0,80264,23578,15158,
223.5,0,8360,26719,0,86115,24239,16220,
224.5,0,8513,24236,0,91515,24853,17243,
225.5,0,8672,21956,0,96274,25380,18173,
226.5,0,8838,19870,0,100209,25783,18962,
227.5,0,9012,17968,0,103148,26026,19566,
228.5,0,9195,16238,0,104947,26076,19953,
229.5,0,9388,14668,0,105498,25911,20095,
230.5,0,9591,13246,0,104739,25515,19978,
231.5,0,9805,11962,0,102658,24885,19598,
232.5,0,10032,10804,0,99302,24027,18963,
233.5,0,10271,9760,0,94768,22960,18091,
234.5,0,10523,8821,0,89206,21710,17014,
235.5,0,10789,7977,0,82802,20314,15769,
236.5,0,11070,7220,0,75774,18813,14399,
237.5,0,11366,6539,0,68353,17252,12954,
238.5,0,11678,5929,0,60769,15675,11480,
239.5,0,12006,5382,0,53243,14126,10026,
240.5,0,12350,4891,0,45969,12642,8633,
241.5,0,12710,4450,0,39109,11254,7340,
242.5,0,13087,4055,0,32786,9986,6181,
243.5,0,13481,3700,0,27084,8853,5182,
244.5,0,13891,3381,0,22050,7864,4367,
245.5,0,14317,3094,0,17692,7021,3749,
246.5,0,14757,2836,0,13994,6317,3332,
247.5,0,15212,2604,0,10912,5746,3100,
248.5,0,15680,2394,0,8391,5293,3016,
249.5,0,16160,2205,0,6365,4946,3035,
250.5,0,16649,2034,0,4763,4689,3115,
251.5,0,17147,1880,0,3518,4509,3227,
252.5,0,17650,1739,0,2566,4391,3352,
253.5,0,18157,1612,0,1848,4323,3480,
254.5,0,18663,1496,0,1316,4295,3606,
255.5,0,19167,1391,0,926,4297,3727,
256.5,0,19664,1295,0,644,4321,3843,
257.5,0,20151,1207,0,444,4360,3954,
258.5,0,20623,1126,0,303,4410,4058,
259.5,0,21076,1052,0,205,4467,4157,
