NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
332.5,0,5826,0,0,2738,1713,1157,
333.5,0,5584,0,0,3185,1754,1139,
334.5,0,5336,0,0,3668,1801,1134,
335.5,0,5084,0,0,4185,1854,1144,
336.5,0,4830,0,0,4730,1912,1171,
337.5,0,4576,0,0,5299,1975,1215,
338.5,0,4322,0,0,5887,2042,1275,
339.5,0,4071,0,0,6487,2112,1348,
340.5,0,3824,0,0,7093,2183,1434,
341.5,0,3582,0,0,7699,2256,1527,
342.5,0,3346,0,0,8299,2329,1627,
343.5,0,3117,0,0,8886,2401,1730,
344.5,0,2896,0,0,9456,2470,1834,
345.5,0,2684,0,0,10002,2537,1937,
346.5,0,2480,0,0,10521,2600,2038,
347.5,0,2286,0,0,11009,2659,2134,
348.5,0,2102,0,0,11464,2713,2225,
349.5,0,1928,0,0,11882,2762,2310,
350.5,0,1764,0,0,12264,2805,2389,
351.5,0,1609,0,0,12608,2843,2461,
352.5,0,1465,0,0,12914,2876,2525,
353.5,0,1330,0,0,13183,2903,2583,
354.5,0,1205,0,0,13417,2924,2633,
355.5,0,1089,0,0,13616,2941,2677,
356.5,0,982,0,0,13784,2953,2714,
357.5,0,884,0,0,13921,2961,2745,
358.5,0,793,0,0,14031,2965,2771,
359.5,0,710,0,0,14116,2965,2791,
360.5,0,635,0,0,14179,2963,2807,
361.5,0,566,0,0,14221,2957,2818,
362.5,0,503,0,0,14246,2950,2826,
363.5,0,447,0,0,14256,2941,2830,
364.5,0,396,0,0,14253,2930,2832,
365.5,0,350,0,0,14240,2918,2831,
366.5,0,309,0,0,14217,2905,2829,
367.5,0,272,0,0,14187,2892,2824,
368.5,0,239,0,0,14152,2878,2819,
369.5,0,210,0,0,14112,2864,2812,
370.5,0,184,0,0,14068,2850,2805,
371.5,0,161,0,0,14022,2837,2797,
372.5,0,140,0,0,13975,2823,2788,
373.5,0,122,0,0,13925,2809,2779,
374.5,0,106,0,0,13875,2796,2770,
375.5,0,92,0,0,13823,2783,2760,
376.5,0,80,0,0,13770,2770,2750,
377.5,0,69,0,0,13715,2757,2740,
378.5,0,60,0,0,13658,2744,2729,
379.5,0,51,0,0,13599,2730,2717,
380.5,0,44,0,0,13535,2716,2705,
381.5,0,38,0,0,13468,2701,2692,
382.5,0,33,0,0,13394,2685,2677,
383.5,0,28,0,0,13314,2668,2662,
384.5,0,24,0,0,13226,2650,2644,
385.5,0,20,0,0,13129,2630,2625,
386.5,0,17,0,0,13021,2608,2603,
387.5,0,15,0,0,12901,2583,2579,
388.5,0,13,0,0,12767,2556,2553,
389.5,0,11,0,0,12617,2526,2523,
390.5,0,9,0,0,12452,2492,2490,
391.5,0,8,0,0,12269,2455,2453,
392.5,0,7,0,0,12067,2415,2413,
393.5,0,6,0,0,11844,2370,2369,
394.5,0,5,0,0,11602,2321,2320,
395.5,0,4,0,0,11338,2268,2267,
396.5,0,3,0,0,11052,2211,2210,
397.5,0,3,0,0,10744,2149,2149,
398.5,0,2,0,0,10415,2083,2083,
399.5,0,2,0,0,10065,2013,2013,
400.5,0,2,0,0,9695,1939,1939,
401.5,0,1,0,0,9306,1861,1861,
402.5,0,1,0,0,8900,1780,1780,
403.5,0,0,0,0,8479,1696,1696,
404.5,0,0,0,0,8046,1609,1609,
405.5,0,0,0,0,7602,1520,1520,
406.5,0,0,0,0,7150,1430,1430,
407.5,0,0,0,0,6695,1339,1339,
408.5,0,0,0,0,6238,1248,1248,
409.5,0,0,0,0,5783,1157,1157,
410.5,0,0,0,0,5334,1067,1067,
411.5,0,0,0,0,4893,979,979,
412.5,0,0,0,0,4464,893,893,
413.5,0,0,0,0,4048,810,810,
414.5,0,0,0,0,3650,730,730,
415.5,0,0,0,0,3271,654,654,
416.5,0,0,0,0,2913,583,583,
417.5,0,0,0,0,2578,516,516,
418.5,0,0,0,0,2266,453,453,
419.5,0,0,0,0,1978,396,396,
420.5,0,0,0,0,1715,343,343,
421.5,0,0,0,0,1477,295,295,
422.5,0,0,0,0,1262,252,252,
423.5,0,0,0,0,1071,214,214,
424.5,0,0,0,0,902,180,180,
425.5,0,0,0,0,754,151,151,
426.5,0,0,0,0,625,125,125,
427.5,0,0,0,0,515,103,103,
428.5,0,0,0,0,420,84,84,
429.5,0,0,0,0,340,68,68,
430.5,0,0,0,0,273,55,55,
431.5,0,0,0,0,217,43,43,
432.5,0,0,0,0,172,34,34,
433.5,0,0,0,0,134,27,27,
434.5,0,0,0,0,104,21,21,
435.5,0,0,0,0,80,16,16,
436.5,0,0,0,0,61,12,12,
437.5,0,0,0,0,46,9,9,
438.5,0,0,0,0,35,7,7,
439.5,0,0,0,0,26,5,5,
440.5,0,0,0,0,19,4,4,
441.5,0,0,0,0,14,3,3,
442.5,0,0,0,0,10,2,2,
443.5,0,0,0,0,7,1,1,
444.5,0,0,0,0,5,1,1,
445.5,0,0,0,0,4,0,0,
446.5,0,0,0,0,2,0,0,
447.5,0,0,0,0,2,0,0,
448.5,0,0,0,0,1,0,0,
449.5,0,0,0,0,0,0,0,
450.5,0,0,0,0,0,0,0,
451.5,0,0,0,0,0,0,0,
452.5,0,0,0,0,0,0,0,
453.5,0,0,0,0,0,0,0,
454.5,0,0,0,0,0,0,0,
455.5,0,0,0,0,0,0,0,
456.5,0,0,0,0,0,0,0,
457.5,0,0,0,0,0,0,0,
458.5,0,0,0,0,0,0,0,
459.5,0,0,0,0,0,0,0,
460.5,0,0,0,0,0,0,0,
461.5,0,0,0,0,0,0,0,
462.5,0,0,0,0,0,0,0,
463.5,0,0,0,0,0,0,0,
464.5,0,0,0,0,0,0,0,
465.5,0,0,0,0,0,0,0,
466.5,0,0,0,0,0,0,0,
467.5,0,0,0,0,0,0,0,
468.5,0,0,0,0,0,0,0,
469.5,0,0,0,0,0,0,0,
470.5,0,0,0,0,0,0,0,
471.5,0,0,0,0,0,0,0,
472.5,0,0,0,0,0,0,0,
473.5,0,0,0,0,0,0,0,
474.5,0,0,0,0,0,0,0,
475.5,0,0,0,0,0,0,0,
476.5,0,0,0,0,0,0,0,
477.5,0,0,0,0,0,0,0,
478.5,0,0,0,0,0,0,0,
479.5,0,0,0,0,0,0,0,
480.5,0,0,0,0,0,0,0,
481.5,0,0,0,0,0,0,0,
482.5,0,0,0,0,0,0,0,
483.5,0,0,0,0,0,0,0,
484.5,0,0,0,0,0,0,0,
485.5,0,0,0,0,0,0,0,
486.5,0,0,0,0,0,0,0,
487.5,0,0,0,0,0,0,0,
488.5,0,0,0,0,0,0,0,
489.5,0,0,0,0,0,0,0,
490.5,0,0,0,0,0,0,0,
491.5,0,0,0,0,0,0,0,
492.5,0,0,0,0,0,0,0,
493.5,0,0,0,0,0,0,0,
494.5,0,0,0,0,0,0,0,
495.5,0,0,0,0,0,0,0,
496.5,0,0,0,0,0,0,0,
497.5,0,0,0,0,0,0,0,
498.5,0,0,0,0,0,0,0,
499.5,0,0,0,0,0,0,0,
500.5,0,0,0,0,0,0,0,
501.5,0,0,0,0,0,0,0,
502.5,0,0,0,0,0,0,0,
503.5,0,0,0,0,0,0,0,
504.5,0,0,0,0,0,0,0,
505.5,0,0,0,0,0,0,0,
506.5,0,0,0,0,0,0,0,
507.5,0,0,0,0,0,0,0,
508.5,0,0,0,0,0,0,0,
509.5,0,0,0,0,0,0,0,
510.5,0,0,0,0,0,0,0,
511.5,0,0,0,0,0,0,0,
512.5,0,0,0,0,0,0,0,
513.5,0,0,0,0,0,0,0,
514.5,0,0,0,0,0,0,0,
515.5,0,0,0,0,0,0,0,
516.5,0,0,0,0,0,0,0,
517.5,0,0,0,0,0,0,0,
518.5,0,0,0,0,0,0,0,
519.5,0,0,0,0,0,0,0,
520.5,0,0,0,0,0,0,0,
521.5,0,0,0,0,0,0,0,
522.5,0,0,0,0,0,0,0,
523.5,0,0,0,0,0,0,0,
