NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
225.5,0,42996,78901,0,0,24380,15972,
226.5,0,40550,80548,0,0,24220,16124,
227.5,0,37882,81864,0,0,23949,16231,
228.5,0,35085,82816,0,0,23580,16293,
229.5,0,32246,83381,0,0,23125,16307,
230.5,0,29438,83541,0,0,22596,16268,
231.5,0,26721,83287,0,0,22002,16172,
232.5,0,24140,82620,0,0,21352,16014,
233.5,0,21727,81546,0,0,20654,15794,
234.5,0,19502,80082,0,0,19917,15508,
235.5,0,17475,78252,0,0,19145,15159,
236.5,0,15649,76088,0,0,18347,14750,
237.5,0,14018,73626,0,0,17529,14285,
238.5,0,12573,70908,0,0,16696,13770,
239.5,0,11304,67979,0,0,15856,13213,
240.5,0,10195,64885,0,0,15016,12623,
241.5,0,9232,61673,0,0,14181,12007,
242.5,0,8402,58388,0,0,13358,11374,
243.5,0,7690,55073,0,0,12553,10734,
244.5,0,7084,51769,0,0,11771,10093,
245.5,0,6572,48512,0,0,11017,9460,
246.5,0,6144,45332,0,0,10295,8840,
247.5,0,5791,42257,0,0,9609,8238,
248.5,0,5504,39307,0,0,8962,7661,
249.5,0,5279,36501,0,0,8356,7110,
250.5,0,5110,33850,0,0,7792,6589,
251.5,0,4992,31362,0,0,7271,6100,
252.5,0,4922,29042,0,0,6793,5643,
253.5,0,4899,26891,0,0,6358,5220,
254.5,0,4921,24907,0,0,5966,4830,
255.5,0,4989,23086,0,0,5615,4473,
256.5,0,5102,21423,0,0,5305,4149,
257.5,0,5262,19910,0,0,5035,3856,
258.5,0,5472,18541,0,0,4803,3594,
259.5,0,5735,17306,0,0,4608,3363,
260.5,0,6054,16197,0,0,4450,3162,
261.5,0,6434,15206,0,0,4328,2991,
262.5,0,6881,14324,0,0,4241,2851,
263.5,0,7400,13544,0,0,4189,2743,
264.5,0,8000,12857,0,0,4171,2667,
265.5,0,8687,12256,0,0,4189,2626,
266.5,0,9471,11736,0,0,4241,2622,
267.5,0,10359,11290,0,0,4330,2656,
268.5,0,11363,10914,0,0,4455,2729,
269.5,0,12491,10602,0,0,4618,2844,
270.5,0,13752,10350,0,0,4820,3001,
271.5,0,15157,10155,0,0,5063,3199,
272.5,0,16715,10014,0,0,5346,3441,
273.5,0,18433,9925,0,0,5672,3725,
274.5,0,20318,9886,0,0,6041,4050,
275.5,0,22374,9895,0,0,6454,4417,
276.5,0,24605,9951,0,0,6911,4825,
277.5,0,27009,10053,0,0,7412,5272,
278.5,0,29584,10201,0,0,7957,5756,
279.5,0,32321,10394,0,0,8543,6276,
280.5,0,35208,10634,0,0,9168,6828,
281.5,0,38230,10919,0,0,9830,7408,
282.5,0,41365,11251,0,0,10523,8012,
283.5,0,44588,11629,0,0,11243,8635,
284.5,0,47867,12055,0,0,11984,9269,
285.5,0,51167,12529,0,0,12739,9909,
286.5,0,54449,13051,0,0,13500,10545,
287.5,0,57669,13621,0,0,14258,11169,
288.5,0,60782,14240,0,0,15005,11772,
289.5,0,63742,14907,0,0,15730,12345,
290.5,0,66499,15621,0,0,16424,12879,
291.5,0,69008,16381,0,0,17078,13364,
292.5,0,71223,17185,0,0,17681,13793,
293.5,0,73102,18031,0,0,18227,14156,
294.5,0,74610,18916,0,0,18705,14448,
295.5,0,75714,19836,0,0,19110,14663,
296.5,0,76391,20787,0,0,19436,14797,
297.5,0,76624,21764,0,0,19678,14847,
298.5,0,76406,22760,0,0,19833,14814,
299.5,0,75737,23769,0,0,19901,14698,
300.5,0,74625,24785,0,0,19882,14503,
301.5,0,73089,25798,0,0,19777,14233,
302.5,0,71154,26800,0,0,19591,13896,
303.5,0,68852,27783,0,0,19327,13500,
304.5,0,66222,28738,0,0,18992,13053,
305.5,0,63308,29654,0,0,18592,12568,
306.5,0,60156,30524,0,0,18136,12054,
307.5,0,56815,31338,0,0,17631,11524,
308.5,0,53337,32087,0,0,17085,10988,
309.5,0,49770,32763,0,0,16507,10460,
310.5,0,46164,33359,0,0,15905,9948,
311.5,0,42564,33868,0,0,15286,9461,
312.5,0,39011,34285,0,0,14659,9008,
313.5,0,35543,34604,0,0,14030,8593,
314.5,0,32193,34824,0,0,13403,8218,
315.5,0,28989,34941,0,0,12786,7886,
316.5,0,25953,34955,0,0,12181,7594,
317.5,0,23101,34865,0,0,11593,7339,
318.5,0,20445,34674,0,0,11024,7116,
319.5,0,17992,34385,0,0,10475,6919,
320.5,0,15745,34001,0,0,9949,6742,
321.5,0,13703,33527,0,0,9446,6579,
322.5,0,11860,32968,0,0,8966,6425,
323.5,0,10210,32332,0,0,8508,6275,
324.5,0,8742,31624,0,0,8073,6126,
325.5,0,7446,30853,0,0,7660,5975,
326.5,0,6309,30027,0,0,7267,5820,
327.5,0,5318,29152,0,0,6894,5659,
328.5,0,4461,28237,0,0,6540,5493,
329.5,0,3723,27290,0,0,6203,5321,
330.5,0,3092,26318,0,0,5882,5144,
331.5,0,2556,25328,0,0,5577,4963,
332.5,0,2103,24328,0,0,5286,4778,
333.5,0,1723,23324,0,0,5009,4591,
334.5,0,1405,22322,0,0,4745,4403,
335.5,0,1140,21327,0,0,4493,4214,
336.5,0,922,20344,0,0,4253,4027,
337.5,0,742,19377,0,0,4024,3841,
338.5,0,595,18431,0,0,3805,3658,
339.5,0,475,17507,0,0,3597,3479,
340.5,0,378,16610,0,0,3398,3304,
341.5,0,300,15741,0,0,3208,3134,
342.5,0,237,14902,0,0,3028,2969,
343.5,0,187,14094,0,0,2856,2810,
344.5,0,146,13317,0,0,2693,2656,
345.5,0,115,12574,0,0,2538,2509,
346.5,0,89,11863,0,0,2390,2368,
347.5,0,70,11184,0,0,2251,2233,
348.5,0,54,10538,0,0,2118,2105,
349.5,0,42,9923,0,0,1993,1983,
350.5,0,32,9340,0,0,1874,1866,
351.5,0,25,8787,0,0,1762,1756,
352.5,0,19,8263,0,0,1656,1652,
353.5,0,15,7767,0,0,1556,1553,
354.5,0,11,7299,0,0,1462,1459,
355.5,0,9,6857,0,0,1373,1371,
356.5,0,7,6439,0,0,1289,1288,
357.5,0,5,6046,0,0,1210,1209,
358.5,0,4,5675,0,0,1136,1135,
359.5,0,3,5325,0,0,1066,1065,
360.5,0,2,4996,0,0,1000,999,
361.5,0,2,4686,0,0,937,937,
362.5,0,1,4394,0,0,879,879,
363.5,0,0,4119,0,0,824,824,
364.5,0,0,3860,0,0,772,772,
365.5,0,0,3616,0,0,723,723,
366.5,0,0,3387,0,0,677,677,
367.5,0,0,3171,0,0,634,634,
368.5,0,0,2968,0,0,594,594,
369.5,0,0,2777,0,0,555,555,
370.5,0,0,2597,0,0,519,519,
371.5,0,0,2427,0,0,485,485,
372.5,0,0,2267,0,0,453,453,
373.5,0,0,2117,0,0,423,423,
374.5,0,0,1975,0,0,395,395,
375.5,0,0,1842,0,0,368,368,
376.5,0,0,1716,0,0,343,343,
377.5,0,0,1598,0,0,320,320,
378.5,0,0,1487,0,0,297,297,
379.5,0,0,1382,0,0,276,276,
380.5,0,0,1284,0,0,257,257,
381.5,0,0,1191,0,0,238,238,
382.5,0,0,1104,0,0,221,221,
383.5,0,0,1022,0,0,204,204,
384.5,0,0,946,0,0,189,189,
385.5,0,0,873,0,0,175,175,
386.5,0,0,806,0,0,161,161,
387.5,0,0,743,0,0,149,149,
388.5,0,0,683,0,0,137,137,
389.5,0,0,628,0,0,126,126,
390.5,0,0,576,0,0,115,115,
391.5,0,0,528,0,0,106,106,
392.5,0,0,483,0,0,97,97,
393.5,0,0,441,0,0,88,88,
394.5,0,0,402,0,0,80,80,
395.5,0,0,366,0,0,73,73,
396.5,0,0,333,0,0,67,67,
397.5,0,0,302,0,0,60,60,
398.5,0,0,273,0,0,55,55,
399.5,0,0,247,0,0,49,49,
400.5,0,0,223,0,0,45,45,
401.5,0,0,200,0,0,40,40,
402.5,0,0,180,0,0,36,36,
403.5,0,0,161,0,0,32,32,
404.5,0,0,144,0,0,29,29,
405.5,0,0,129,0,0,26,26,
406.5,0,0,115,0,0,23,23,
407.5,0,0,102,0,0,20,20,
408.5,0,0,91,0,0,18,18,
409.5,0,0,80,0,0,16,16,
410.5,0,0,71,0,0,14,14,
411.5,0,0,62,0,0,12,12,
412.5,0,0,55,0,0,11,11,
413.5,0,0,48,0,0,10,10,
414.5,0,0,42,0,0,8,8,
415.5,0,0,37,0,0,7,7,
416.5,0,0,32,0,0,6,6,
417.5,0,0,28,0,0,6,6,
418.5,0,0,24,0,0,5,5,
419.5,0,0,21,0,0,4,4,
420.5,0,0,18,0,0,4,4,
421.5,0,0,15,0,0,3,3,
422.5,0,0,13,0,0,3,3,
423.5,0,0,11,0,0,2,2,
424.5,0,0,10,0,0,2,2,
425.5,0,0,8,0,0,2,2,
426.5,0,0,7,0,0,1,1,
427.5,0,0,6,0,0,1,1,
428.5,0,0,5,0,0,1,1,
429.5,0,0,4,0,0,0,0,
430.5,0,0,4,0,0,0,0,
431.5,0,0,3,0,0,0,0,
432.5,0,0,3,0,0,0,0,
433.5,0,0,2,0,0,0,0,
434.5,0,0,2,0,0,0,0,
435.5,0,0,1,0,0,0,0,
436.5,0,0,1,0,0,0,0,
437.5,0,0,0,0,0,0,0,
438.5,0,0,0,0,0,0,0,
439.5,0,0,0,0,0,0,0,
440.5,0,0,0,0,0,0,0,
441.5,0,0,0,0,0,0,0,
442.5,0,0,0,0,0,0,0,
443.5,0,0,0,0,0,0,0,
444.5,0,0,0,0,0,0,0,
445.5,0,0,0,0,0,0,0,
446.5,0,0,0,0,0,0,0,
447.5,0,0,0,0,0,0,0,
448.5,0,0,0,0,0,0,0,
449.5,0,0,0,0,0,0,0,
450.5,0,0,0,0,0,0,0,
451.5,0,0,0,0,0,0,0,
452.5,0,0,0,0,0,0,0,
453.5,0,0,0,0,0,0,0,
454.5,0,0,0,0,0,0,0,
455.5,0,0,0,0,0,0,0,
456.5,0,0,0,0,0,0,0,
457.5,0,0,0,0,0,0,0,
458.5,0,0,0,0,0,0,0,
459.5,0,0,0,0,0,0,0,
460.5,0,0,0,0,0,0,0,
461.5,0,0,0,0,0,0,0,
462.5,0,0,0,0,0,0,0,
463.5,0,0,0,0,0,0,0,
464.5,0,0,0,0,0,0,0,
465.5,0,0,0,0,0,0,0,
466.5,0,0,0,0,0,0,0,
467.5,0,0,0,0,0,0,0,
468.5,0,0,0,0,0,0,0,
469.5,0,0,0,0,0,0,0,
470.5,0,0,0,0,0,0,0,
471.5,0,0,0,0,0,0,0,
472.5,0,0,0,0,0,0,0,
473.5,0,0,0,0,0,0,0,
474.5,0,0,0,0,0,0,0,
475.5,0,0,0,0,0,0,0,
476.5,0,0,0,0,0,0,0,
477.5,0,0,0,0,0,0,0,
478.5,0,0,0,0,0,0,0,
479.5,0,0,0,0,0,0,0,
480.5,0,0,0,0,0,0,0,
481.5,0,0,0,0,0,0,0,
482.5,0,0,0,0,0,0,0,
483.5,0,0,0,0,0,0,0,
484.5,0,0,0,0,0,0,0,
485.5,0,0,0,0,0,0,0,
486.5,0,0,0,0,0,0,0,
487.5,0,0,0,0,0,0,0,
488.5,0,0,0,0,0,0,0,
489.5,0,0,0,0,0,0,0,
490.5,0,0,0,0,0,0,0,
491.5,0,0,0,0,0,0,0,
492.5,0,0,0,0,0,0,0,
493.5,0,0,0,0,0,0,0,
494.5,0,0,0,0,0,0,0,
495.5,0,0,0,0,0,0,0,
496.5,0,0,0,0,0,0,0,
497.5,0,0,0,0,0,0,0,
498.5,0,0,0,0,0,0,0,
499.5,0,0,0,0,0,0,0,
